Data;prod_industrial_mensal
jan/02;72,4
fev/02;69,7
mar/02;77,4
abr/02;79,6
mai/02;80,4
jun/02;77,5
jul/02;83,3
ago/02;83,6
set/02;82,1
out/02;89,2
nov/02;83,9
dez/02;74,6
jan/03;74
fev/03;71,8
mar/03;77,4
abr/03;76,5
mai/03;79,7
jun/03;76,3
jul/03;81,3
ago/03;81,6
set/03;85,7
out/03;90
nov/03;84,6
dez/03;77,9
jan/04;76,8
fev/04;74
mar/04;86,9
abr/04;82,2
mai/04;86,3
jun/04;86,1
jul/04;90,1
ago/04;92,1
set/04;92,1
out/04;93,5
nov/04;91,8
dez/04;84,7
jan/05;81
fev/05;76,4
mar/05;88
abr/05;87
mai/05;91,1
jun/05;91,4
jul/05;90,5
ago/05;95,6
set/05;92
out/05;93,7
nov/05;92,4
dez/05;86,6
jan/06;83,7
fev/06;80,2
mar/06;92,4
abr/06;85,7
mai/06;95,4
jun/06;91,1
jul/06;93,8
ago/06;98,6
set/06;93,2
out/06;97,5
nov/06;95,9
dez/06;87
jan/07;87
fev/07;82,6
mar/07;96,4
abr/07;90,6
mai/07;99,9
jun/07;96,9
jul/07;99,8
ago/07;104,9
set/07;98,4
out/07;107,8
nov/07;102,4
dez/07;92,6
jan/08;94,8
fev/08;91,1
mar/08;97,7
abr/08;99,2
mai/08;102,5
jun/08;103,3
jul/08;108,5
ago/08;106,9
set/08;107,3
out/08;108,4
nov/08;96,2
dez/08;79,1
jan/09;78,7
fev/09;76,1
mar/09;88,6
abr/09;85,2
mai/09;91,3
jun/09;92,2
jul/09;97,7
ago/09;99,6
set/09;99,4
out/09;105,6
nov/09;101,4
dez/09;94,1
jan/10;91,2
fev/10;89
mar/10;105,1
abr/10;99,3
mai/10;104,3
jun/10;102,5
jul/10;106,9
ago/10;108,1
set/10;105,8
out/10;107,7
nov/10;106,8
dez/10;96,6
jan/11;93,2
fev/11;95,4
mar/11;104,4
abr/11;97,5
mai/11;107,1
jun/11;102,8
jul/11;106,1
ago/11;110,8
set/11;104,8
out/11;106,3
nov/11;104,2
dez/11;95,7
jan/12;88,7
fev/12;89,8
mar/12;99,7
abr/12;92,8
mai/12;102,5
jun/12;98,3
jul/12;104,5
ago/12;111,5
set/12;103,4
out/12;111,8
nov/12;104,8
dez/12;92,2
jan/13;94,5
fev/13;88,1
mar/13;97,7
abr/13;101,8
mai/13;105
jun/13;101,7
jul/13;108
ago/13;112
set/13;107,3
out/13;112,6
nov/13;106,1
dez/13;90,1
jan/14;92,6
fev/14;92,3
mar/14;97,3
abr/14;96
mai/14;101,7
jun/14;94,9
jul/14;104,4
ago/14;106,3
set/14;105,6
out/14;109,3
nov/14;99,8
dez/14;87,7
jan/15;88,1
fev/15;83,7
mar/15;94,3
abr/15;88,8
mai/15;93,1
jun/15;92,5
jul/15;95,5
ago/15;97,6
set/15;94,3
out/15;97,2
nov/15;87,6
dez/15;77,2
jan/16;76,3
fev/16;75,8
mar/16;83,7
abr/16;83
mai/16;86,3
jun/16;87,7
jul/16;89,6
ago/16;93
set/16;90,7
out/16;90,2
nov/16;86,5
dez/16;77,2
jan/17;77,9
fev/17;75,9
mar/17;85,4
abr/17;79,3
mai/17;90,1
jun/17;88,4
jul/17;92,1
ago/17;96,7
set/17;93
out/17;95,1
nov/17;90,6
dez/17;81
jan/18;82,2
fev/18;77,3
mar/18;86,2
abr/18;86,5
mai/18;84,4
jun/18;91
jul/18;95,8
ago/18;98,2
set/18;90,8
out/18;95,8
nov/18;89,5
dez/18;78
jan/19;80,6
fev/19;79,1
mar/19;81
abr/19;83,3
mai/19;90,9
jun/19;85,7
jul/19;93,4
ago/19;96,2
set/19;91,7
out/19;96,9
nov/19;88
